,name,category,labels,resource,github_id,homepage,license,description,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,contributor_count,projectrank,show,open_issue_count,pypi_id,conda_id,docs_url,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,conda_url,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,new_addition,dockerhub_stars,conda_latest_release_published_at,conda_total_downloads,trending,updated_github_id
0,Data on Energy,data,['python'],True,owid/energy-data,https://ourworldindata.org/energy,CC-BY,Data on energy by Our World in Data.,https://github.com/owid/energy-data,2020-09-08 15:21:25,2023-03-06 04:08:54.000000,2023-03-06 04:08:49,224,3.0,69.0,9.0,22.0,7.0,163,7.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,
1,COVID-EMDA,data,['python'],True,tamu-engineering-research/COVID-EMDA,https://github.com/tamu-engineering-research/COVID-EMDA,MIT,Cross-Domain Data Hub with Data in USA.,https://github.com/tamu-engineering-research/COVID-EMDA,2020-05-05 18:59:53,2022-05-16 00:06:28.000000,2022-05-16 00:06:28,979,,18.0,6.0,,,57,5.0,0,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2,Pyomo,opl,"['python', 'jupyter']",,Pyomo/pyomo,https://www.pyomo.org,BSD-3,Python-based Optimization Modeling Language.,https://github.com/Pyomo/pyomo,2016-05-27 19:33:45,2023-04-06 11:43:10.000000,2023-04-04 19:29:11,20280,737.0,415.0,59.0,1639.0,871.0,1491,124.0,36,True,283.0,Pyomo,pyomo,https://pyomo.readthedocs.io/en/stable/,2023-02-16 17:19:00,6.5.0,834.0,139660.0,7.0,1268.0,1268.0,https://pypi.org/project/Pyomo,139601.0,https://anaconda.org/anaconda/pyomo,1.0,,,,,,,,,,
3,pandapower,steady-state,['python'],,e2nIEE/pandapower,https://www.pandapower.org/,BSD-3,Convenient Power System Modelling and Analysis.,https://github.com/e2nIEE/pandapower,2017-01-12 13:27:53,2023-04-06 18:21:56.000000,2023-04-06 18:16:26,7571,323.0,402.0,46.0,992.0,660.0,603,107.0,32,True,164.0,pandapower,pandapower,https://pandapower.readthedocs.io/en/latest/,2023-01-02 15:34:50,2.11.1,,14071.0,31.0,216.0,216.0,https://pypi.org/project/pandapower,14070.0,https://anaconda.org/anaconda/pandapower,1.0,pauldepraz/pandapowerapi,https://hub.docker.com/r/pauldepraz/pandapowerapi,2021-02-09 18:05:17.389840,86.0,,,,,,
4,PySCIPOpt,ops,['python'],,scipopt/PySCIPOpt,https://www.scipopt.org/,MIT,Python interface for SCIP.,https://github.com/scipopt/PySCIPOpt,2016-05-19 14:29:21,2023-04-03 09:45:19.000000,2023-04-03 09:45:19,1582,25.0,194.0,25.0,269.0,371.0,625,60.0,30,True,27.0,PySCIPOpt,pyscipopt,https://scipopt.github.io/PySCIPOpt/docs/html/,2023-03-17 19:43:22,4.3.0,,92325.0,17.0,105.0,105.0,https://pypi.org/project/PySCIPOpt,92325.0,https://anaconda.org/anaconda/pyscipopt,1.0,,,,,True,,,,,
5,PyPSA,steady-state,['python'],,PyPSA/PyPSA,https://pypsa.org,MIT,Simulating and optimising power and energy systems.,https://github.com/PyPSA/PyPSA,2016-01-11 09:04:18,2023-04-06 10:24:39.000000,2023-04-05 21:05:59,1824,118.0,337.0,60.0,349.0,182.0,816,59.0,29,True,64.0,pypsa,pypsa,https://pypsa.readthedocs.io/en/latest/,2023-02-16 09:22:20,0.22.1,,4139.0,42.0,90.0,90.0,https://pypi.org/project/pypsa,4139.0,https://anaconda.org/anaconda/pypsa,1.0,,,,,,,,,,
6,OpenModelica,cosime,,,OpenModelica/OpenModelica,https://openmodelica.org,https://modelica.org/licenses/ModelicaLicense2/,Modelica-based environment for modeling and simulation.,https://github.com/OpenModelica/OpenModelica,2015-05-03 16:59:29,2023-04-06 17:27:16.000000,2023-04-05 13:17:03,35878,236.0,247.0,53.0,3508.0,5300.0,588,180.0,28,True,1601.0,,,https://openmodelica.org/useresresources/userdocumentation,2023-02-02 13:01:22,1.14.0,346.0,209.0,16.0,,,,,,1.0,openmodelica/openmodelica,https://hub.docker.com/r/openmodelica/openmodelica,2023-03-31 09:37:19.309639,19572.0,,5.0,,,,
7,CVXOPT,opl,['python'],,cvxopt/cvxopt,https://cvxopt.org/,GPL-3,Python Software for Convex Optimization.,https://github.com/cvxopt/cvxopt,2013-02-22 22:14:31,2023-03-21 12:56:57.446000,2022-03-07 21:58:44,53,,186.0,39.0,60.0,131.0,876,8.0,26,False,45.0,cvxopt,cvxopt,http://cvxopt.org/userguide/,2022-03-08 21:08:16,1.3.0,,212400.0,10.0,6839.0,6839.0,https://pypi.org/project/cvxopt,212304.0,https://anaconda.org/anaconda/cvxopt,3.0,,,,,True,,2023-03-21 12:56:57.446,8573.0,,
8,JuMP,opl,"['julia', 'jupyter']",,jump-dev/JuMP.jl,https://jump.dev,MPL-2.0,Julia-based Optimization Modeling Language.,https://github.com/jump-dev/JuMP.jl,2012-10-10 00:34:45,2023-04-06 01:00:44.000000,2023-04-05 22:01:55,4594,92.0,362.0,82.0,1935.0,1326.0,1937,137.0,25,True,15.0,,,https://jump.dev/JuMP.jl/stable/,2023-04-03 10:06:04,1.10.0,,,54.0,,,,,,3.0,,,,,,,,,,
9,HiGHS,ops,['python'],,ERGO-Code/HiGHS,https://highs.dev/,MIT,Large-scale Sparse Linear Problem Optimizer.,https://github.com/ERGO-Code/HiGHS,2018-03-27 13:57:58,2023-04-06 15:40:52.000000,2023-03-28 12:39:50,7686,8.0,102.0,22.0,774.0,362.0,510,46.0,25,True,54.0,highspy,,https://ergo-code.github.io/HiGHS/,2023-02-24 14:45:09,1.5.1,,7535.0,9.0,14.0,14.0,https://pypi.org/project/highspy,7535.0,,2.0,,,,,,,,,-1.0,
10,Ipopt,ops,['python'],,coin-or/Ipopt,https://github.com/coin-or/Ipopt,EPL-2.0,COIN-OR Interior Point Optimizer.,https://github.com/coin-or/Ipopt,2019-01-28 12:24:22,2023-04-05 09:40:16.000000,2023-04-05 09:36:59,2321,28.0,224.0,39.0,18.0,524.0,1002,25.0,24,True,3.0,ipopt,ipopt,https://coin-or.github.io/Ipopt/,2023-04-05 09:21:32,releases/3.14.12,7045.0,2874.0,18.0,,,https://pypi.org/project/ipopt,2679.0,https://anaconda.org/anaconda/ipopt,3.0,,,,,,,,,,
11,precice,cosime,,,precice/precice,https://precice.org/,LGPL-3.0,Precise Code Interaction Coupling Environment.,https://github.com/precice/precice,2015-05-22 14:05:22,2023-04-06 03:17:46.913736,2023-04-05 12:22:52,4599,108.0,140.0,35.0,933.0,512.0,525,51.0,22,True,160.0,pyprecice,pyprecice,https://precice.org/docs.html,2022-08-10 12:48:38,2.5.0,15322.0,611.0,25.0,,,https://pypi.org/project/pyprecice,270.0,https://anaconda.org/anaconda/pyprecice,3.0,precice/precice,https://hub.docker.com/r/precice/precice,2023-04-06 03:17:46.913736,10075.0,,,,,,
12,GridCal,steady-state,['python'],,SanPen/GridCal,https://www.advancedgridinsights.com/gridcal,LGPL-3,Cross-platform power systems software.,https://github.com/SanPen/GridCal,2016-01-13 15:40:10,2023-03-14 09:46:54.000000,2023-01-29 10:52:17,2689,32.0,76.0,28.0,96.0,75.0,321,28.0,22,True,,GridCal,,https://gridcal.readthedocs.io/en/latest/?badge=latest,2022-07-24 18:29:15,4.5.5,26.0,1339.0,17.0,5.0,5.0,https://pypi.org/project/GridCal,1339.0,,2.0,,,,,,,,,-1.0,
13,Grid2Op,mrl,"['python', 'jupyter']",,rte-france/Grid2Op,https://l2rpn.chalearn.org/,MPL-2.0,Modeling sequential decision making in power systems.,https://github.com/rte-france/Grid2Op,2019-10-10 17:04:46,2023-04-05 08:53:56.000000,2023-01-11 11:47:49,2188,8.0,87.0,17.0,159.0,206.0,213,22.0,22,True,56.0,Grid2Op,,https://grid2op.readthedocs.io/en/latest/,2023-01-11 13:01:28,1.8.1,,1436.0,18.0,,,https://pypi.org/project/Grid2Op,1232.0,,1.0,bdonnot/grid2op,https://hub.docker.com/r/bdonnot/grid2op,2022-07-05 14:02:10.644952,8584.0,,1.0,,,-1.0,
14,Atlite,data,['python'],,PyPSA/atlite,https://pypsa.org,BSD-2,Calculating Renewable Power Potentials.,https://github.com/PyPSA/atlite,2016-11-03 23:59:25,2023-04-05 09:08:53.000000,2023-04-05 09:08:53,561,38.0,54.0,14.0,185.0,76.0,178,23.0,22,True,23.0,atlite,atlite,https://atlite.readthedocs.io/en/master/?badge=master,2023-01-11 12:55:29,0.2.10,,920.0,9.0,17.0,17.0,https://pypi.org/project/atlite,920.0,https://anaconda.org/anaconda/atlite,1.0,,,,,,,,,,
15,HELICS,cosimf,"['python', 'julia']",,GMLC-TDC/HELICS,https://helics.org/tools/,BSD-3,Framework to Integrate Simulators.,https://github.com/GMLC-TDC/HELICS,2017-06-01 17:03:19,2023-04-05 22:33:24.000000,2023-03-27 11:58:08,3415,16.0,35.0,13.0,1886.0,542.0,90,38.0,22,True,72.0,helics,helics,,2023-01-20 21:48:22,3.4.0,17846.0,2160.0,54.0,,,https://pypi.org/project/helics,1873.0,https://anaconda.org/anaconda/helics,1.0,,,,,,,,,,
16,Power Grid Model,steady-state,['python'],,alliander-opensource/power-grid-model,https://github.com/PowerGridModel/power-grid-model,MPL-2.0,Steady-state distribution power system analysis.,https://github.com/PowerGridModel/power-grid-model,2022-01-20 12:31:31,2023-04-06 13:17:20.000000,2023-04-05 12:33:53,1550,400.0,11.0,5.0,157.0,39.0,63,14.0,22,True,28.0,power-grid-model,,https://power-grid-model.readthedocs.io/en/stable/,2023-04-05 13:26:51,1.4.55,1601.0,9647.0,93.0,2.0,2.0,https://pypi.org/project/power-grid-model,9502.0,,2.0,,,,,,,,,,PowerGridModel/power-grid-model
17,PowerSimulations.jl,steady-state,['julia'],,nrel-siip/powersimulations.jl,https://www.nrel.gov/analysis/siip.html,BSD-3,Optimization of Power Systems; Part of the SIIP at NREL.,https://github.com/NREL-SIIP/PowerSimulations.jl,2017-11-03 21:11:22,2023-04-03 19:43:47.000000,2023-03-31 01:53:09,7503,167.0,44.0,16.0,685.0,235.0,208,30.0,21,True,22.0,,,https://nrel-siip.github.io/PowerSimulations.jl/latest/,2023-03-31 05:55:07,0.19.2,,,78.0,,,,,,2.0,,,,,,,,,,
18,PyPSA-Eur,steady-state,['python'],,PyPSA/pypsa-eur,https://pypsa.org,MIT,Optimisation Model of the European Transmission System.,https://github.com/PyPSA/pypsa-eur,2017-10-11 23:54:41,2023-04-06 13:57:33.000000,2023-03-25 13:17:17,2505,352.0,121.0,15.0,326.0,200.0,179,44.0,21,True,111.0,,,https://pypsa-eur.readthedocs.io/en/latest/?badge=latest,2023-03-18 12:27:50,0.8.0,,0.0,11.0,,,,,,2.0,nimfetrisa/pypsa-eur,https://hub.docker.com/r/nimfetrisa/pypsa-eur,2022-04-11 21:54:31.539284,36.0,,,,,,
19,pandapipes,gasnet,['python'],,e2nIEE/pandapipes,https://www.pandapipes.org/,BSD-3,Pipeflow Calculation Tool.,https://github.com/e2nIEE/pandapipes,2020-02-03 15:04:57,2023-03-24 11:37:07.000000,2023-03-15 07:43:36,1580,45.0,38.0,8.0,386.0,62.0,79,17.0,21,True,40.0,pandapipes,,https://jkpandapipes.readthedocs.io/en/latest/,2023-02-02 15:58:41,0.8.4,,820.0,14.0,6.0,6.0,https://pypi.org/project/pandapipes,820.0,,1.0,,,,,,,,,-1.0,
20,AMPLPY,ops,['python'],,ampl/amplpy,https://ampl.com/,BSD-3,Python API for AMPL.,https://github.com/ampl/amplpy,2017-06-27 00:22:07,2023-04-05 09:37:39.000000,2023-04-05 08:44:17,523,99.0,15.0,12.0,6.0,30.0,51,8.0,21,True,12.0,amplpy,amplpy,https://amplpy.readthedocs.io/en/latest/,2023-03-14 20:21:15,0.9.0,,7237.0,10.0,37.0,37.0,https://pypi.org/project/amplpy,7237.0,https://anaconda.org/anaconda/amplpy,3.0,,,,,True,,,,,
21,PYPOWER,steady-state,['python'],,rwl/PYPOWER,rwl.github.io/PYPOWER/api/,BSD,Port of MATPOWER to Python.,https://github.com/rwl/PYPOWER,2009-05-22 12:14:47,2023-03-29 15:15:06.000000,2023-03-29 15:07:00,351,8.0,95.0,25.0,43.0,11.0,257,20.0,20,True,26.0,PYPOWER,pypower,http://rwl.github.io/PYPOWER/index.html,2021-03-22 22:06:27,5.1.15,,3091.0,13.0,76.0,76.0,https://pypi.org/project/PYPOWER,3091.0,https://anaconda.org/anaconda/pypower,3.0,hwanghust/pypower,https://hub.docker.com/r/hwanghust/pypower,2019-05-19 07:28:05.197725,16.0,,,,,-1.0,
22,LTB andes,dynamic,"['python', 'jupyter', 'ltb', 'curent']",,CURENT/andes,https://curent.github.io/,GPL-3,Transient Stability Simulator; Part of CURENT LTB.,https://github.com/CURENT/andes,2016-11-07 01:04:50,2023-04-03 19:17:19.000000,2023-03-28 13:21:21,4362,26.0,73.0,14.0,254.0,43.0,157,20.0,20,True,5.0,andes,andes,https://docs.andes.app/en/latest/,2022-03-27 17:07:13,1.6.2,,639.0,18.0,10.0,10.0,https://pypi.org/project/andes,638.0,https://anaconda.org/anaconda/andes,1.0,cuihantao/andes,https://hub.docker.com/r/cuihantao/andes,2020-12-10 15:50:41.614180,110.0,,,,,,
23,powerplantmatching,data,['python'],,PyPSA/powerplantmatching,https://pypsa.org,BSD-2,Tools to combine multiple power plant databases.,https://github.com/PyPSA/powerplantmatching,2016-08-15 16:36:25,2023-04-03 23:12:48.000000,2023-02-13 16:45:07,781,20.0,39.0,18.0,47.0,47.0,105,17.0,20,True,14.0,powerplantmatching,powerplantmatching,https://atlite.readthedocs.io/en/master/?badge=master,2023-02-13 16:37:22,0.5.6,42.0,226.0,13.0,14.0,14.0,https://pypi.org/project/powerplantmatching,226.0,https://anaconda.org/anaconda/powerplantmatching,3.0,,,,,,,,,,
24,matpower,steady-state,,,MATPOWER/matpower,https://matpower.org/,BSD-3,Steady state power flow simulation.,https://github.com/MATPOWER/matpower,2016-12-16 19:12:30,2023-03-29 21:16:27.000000,2023-03-29 21:00:09,2304,9.0,130.0,29.0,36.0,123.0,306,12.0,19,True,17.0,matpower,,https://matpower.org/doc/,2020-10-08 23:57:49,7.1,206621.0,4508.0,4.0,,,https://pypi.org/project/matpower,603.0,,3.0,matpower/matpower,https://hub.docker.com/r/matpower/matpower,2022-12-23 05:36:43.825145,600.0,,,,,,
