,name,category,labels,resource,github_id,homepage,license,description,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,contributor_count,projectrank,show,recent_commit_count,open_issue_count,pypi_id,conda_id,docs_url,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,conda_url,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,trending,new_addition,dockerhub_stars,conda_latest_release_published_at,conda_total_downloads,updated_github_id
0,Data on Energy,data,['python'],True,owid/energy-data,https://ourworldindata.org/energy,CC-BY,Data on energy by Our World in Data.,https://github.com/owid/energy-data,2020-09-08 15:21:25,2023-07-18 13:22:02.000000,2023-07-18 13:21:58,234,87.0,12.0,25.0,10.0,226,7.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,
1,COVID-EMDA,data,['python'],True,tamu-engineering-research/COVID-EMDA,https://github.com/tamu-engineering-research/COVID-EMDA,MIT,Cross-Domain Data Hub with Data in USA.,https://github.com/tamu-engineering-research/COVID-EMDA,2020-05-05 18:59:53,2023-11-11 19:19:54.000000,2023-11-11 19:19:54,981,18.0,6.0,,,57,5.0,0,True,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2,Pyomo,opl,"['python', 'jupyter']",,Pyomo/pyomo,https://www.pyomo.org,BSD-3,Python-based Optimization Modeling Language.,https://github.com/Pyomo/pyomo,2016-05-27 19:33:45,2023-12-20 18:37:30.000000,2023-12-19 16:34:51,22239,449.0,60.0,1807.0,952.0,1726,136.0,36,True,428.0,310.0,Pyomo,pyomo,https://pyomo.readthedocs.io/en/stable/,2023-11-30 03:01:19,6.7.0,1959.0,335028.0,11.0,1636.0,1636.0,https://pypi.org/project/Pyomo,334939.0,https://anaconda.org/anaconda/pyomo,1.0,,,,,,,,,,
3,pandapower,steady-state,['python'],,e2nIEE/pandapower,https://www.pandapower.org/,BSD-3,Convenient Power System Modelling and Analysis.,https://github.com/e2nIEE/pandapower,2017-01-12 13:27:53,2023-12-20 19:33:52.000000,2023-12-20 09:59:13,8157,427.0,47.0,1181.0,720.0,704,124.0,31,True,91.0,171.0,pandapower,pandapower,https://pandapower.readthedocs.io/en/latest/,2023-05-12 15:47:47,2.13.1,,14390.0,35.0,301.0,301.0,https://pypi.org/project/pandapower,14389.0,https://anaconda.org/anaconda/pandapower,1.0,pauldepraz/pandapowerapi,https://hub.docker.com/r/pauldepraz/pandapowerapi,2021-02-09 18:05:17.389840,88.0,,,,,,
4,HiGHS,ops,['python'],,ERGO-Code/HiGHS,https://highs.dev/,MIT,Large-scale Sparse Linear Problem Optimizer.,https://github.com/ERGO-Code/HiGHS,2018-03-27 13:57:58,2023-12-17 21:00:43.000000,2023-11-28 00:06:22,8798,141.0,32.0,927.0,478.0,699,60.0,31,True,208.0,64.0,highspy,,https://ergo-code.github.io/HiGHS/,2023-09-29 05:31:06,1.6.0,,32905.0,11.0,53.0,53.0,https://pypi.org/project/highspy,32905.0,,1.0,,,,,5.0,,,,,
5,PySCIPOpt,ops,['python'],,scipopt/PySCIPOpt,https://www.scipopt.org/,MIT,Python interface for SCIP.,https://github.com/scipopt/PySCIPOpt,2016-05-19 14:29:21,2023-12-17 20:49:32.000000,2023-12-11 11:44:20,1722,213.0,25.0,304.0,446.0,706,67.0,30,True,116.0,19.0,PySCIPOpt,pyscipopt,https://scipopt.github.io/PySCIPOpt/docs/html/,2023-12-06 08:07:15,4.4.0,,41454.0,18.0,137.0,137.0,https://pypi.org/project/PySCIPOpt,41454.0,https://anaconda.org/anaconda/pyscipopt,2.0,,,,,,True,,,,
6,PyPSA,steady-state,['python'],,PyPSA/PyPSA,https://pypsa.org,MIT,Simulating and optimising power and energy systems.,https://github.com/PyPSA/PyPSA,2016-01-11 09:04:18,2023-12-21 09:05:57.000000,2023-12-19 12:04:55,2424,386.0,65.0,493.0,225.0,982,68.0,29,True,174.0,72.0,pypsa,pypsa,https://pypsa.readthedocs.io/en/latest/,2023-12-04 11:16:49,0.26.0,,6417.0,48.0,150.0,150.0,https://pypi.org/project/pypsa,6417.0,https://anaconda.org/anaconda/pypsa,1.0,,,,,,,,,,
7,OpenModelica,cosime,,,OpenModelica/OpenModelica,https://openmodelica.org,https://modelica.org/licenses/ModelicaLicense2/,Modelica-based environment for modeling and simulation.,https://github.com/OpenModelica/OpenModelica,2015-05-03 16:59:29,2023-12-21 13:16:49.000000,2023-12-21 12:44:44,36420,272.0,53.0,4135.0,5622.0,685,187.0,28,True,201.0,1775.0,,,https://openmodelica.org/useresresources/userdocumentation,2023-12-13 10:48:55,1.22.1,358.0,315.0,18.0,,,,,,1.0,openmodelica/openmodelica,https://hub.docker.com/r/openmodelica/openmodelica,2023-12-15 14:05:19.336681,32208.0,,,5.0,,,
8,CVXOPT,opl,['python'],,cvxopt/cvxopt,https://cvxopt.org/,GPL-3,Python Software for Convex Optimization.,https://github.com/cvxopt/cvxopt,2013-02-22 22:14:31,2023-11-07 22:51:27.608000,2023-08-09 09:16:40,55,195.0,38.0,65.0,145.0,934,8.0,27,True,,38.0,cvxopt,cvxopt,http://cvxopt.org/userguide/,2023-08-09 14:30:02,1.3.2,,303784.0,12.0,8706.0,8706.0,https://pypi.org/project/cvxopt,303676.0,https://anaconda.org/anaconda/cvxopt,3.0,,,,,,True,,2023-11-07 22:51:27.608,10478.0,
9,JuMP,opl,"['julia', 'jupyter']",,jump-dev/JuMP.jl,https://jump.dev,MPL-2.0,Julia-based Optimization Modeling Language.,https://github.com/jump-dev/JuMP.jl,2012-10-10 00:34:45,2023-12-20 23:08:34.000000,2023-12-20 22:26:18,4822,381.0,84.0,2181.0,1402.0,2072,149.0,26,True,80.0,7.0,,,https://jump.dev/JuMP.jl/stable/,2023-12-03 20:17:49,1.17.0,,,64.0,,,,,,3.0,,,,,,,,,,
10,Ipopt,ops,['python'],,coin-or/Ipopt,https://github.com/coin-or/Ipopt,EPL-2.0,COIN-OR Interior Point Optimizer.,https://github.com/coin-or/Ipopt,2019-01-28 12:24:22,2023-12-12 06:57:41.000000,2023-12-12 06:57:09,2349,246.0,41.0,24.0,555.0,1195,29.0,25,True,17.0,6.0,ipopt,ipopt,https://coin-or.github.io/Ipopt/,2023-11-08 10:43:55,releases/3.14.13,10155.0,2109.0,19.0,,,https://pypi.org/project/ipopt,1879.0,https://anaconda.org/anaconda/ipopt,3.0,,,,,,,,,,
11,GridCal,steady-state,['python'],,SanPen/GridCal,https://www.advancedgridinsights.com/gridcal,LGPL-3,Cross-platform power systems software.,https://github.com/SanPen/GridCal,2016-01-13 15:40:10,2023-12-21 18:12:57.000000,2023-11-28 12:18:01,3208,75.0,33.0,106.0,80.0,362,32.0,24,True,176.0,51.0,GridCal,,https://gridcal.readthedocs.io/en/latest/?badge=latest,2023-11-18 17:02:20,5.0.2,33.0,1348.0,19.0,7.0,7.0,https://pypi.org/project/GridCal,1348.0,,2.0,,,,,,,,,,
12,Grid2Op,mrl,"['python', 'jupyter']",,rte-france/Grid2Op,https://l2rpn.chalearn.org/,MPL-2.0,Modeling sequential decision making in power systems.,https://github.com/rte-france/Grid2Op,2019-10-10 17:04:46,2023-12-18 08:14:38.000000,2023-12-01 09:41:19,2834,102.0,18.0,235.0,280.0,245,31.0,24,True,69.0,43.0,Grid2Op,,https://grid2op.readthedocs.io/en/latest/,2023-12-01 09:42:22,1.9.7,,2387.0,26.0,,,https://pypi.org/project/Grid2Op,2195.0,,1.0,bdonnot/grid2op,https://hub.docker.com/r/bdonnot/grid2op,2022-07-05 14:02:10.644952,9640.0,,,1.0,,,
13,Atlite,data,['python'],,PyPSA/atlite,https://pypsa.org,BSD-2,Calculating Renewable Power Potentials.,https://github.com/PyPSA/atlite,2016-11-03 23:59:25,2023-12-18 19:06:01.000000,2023-12-18 19:05:54,703,66.0,13.0,226.0,84.0,221,28.0,24,True,40.0,23.0,atlite,atlite,https://atlite.readthedocs.io/en/master/?badge=master,2023-10-25 10:29:04,0.2.12,,2474.0,11.0,46.0,46.0,https://pypi.org/project/atlite,2474.0,https://anaconda.org/anaconda/atlite,1.0,,,,,2.0,,,,,
14,precice,cosime,,,precice/precice,https://precice.org/,LGPL-3.0,Precise Code Interaction Coupling Environment.,https://github.com/precice/precice,2015-05-22 14:05:22,2023-12-21 03:13:57.054026,2023-12-18 08:42:08,4957,161.0,37.0,1123.0,610.0,626,54.0,23,True,126.0,176.0,pyprecice,pyprecice,https://precice.org/docs.html,2022-08-10 12:48:38,2.5.0,21816.0,592.0,25.0,,,https://pypi.org/project/pyprecice,161.0,https://anaconda.org/anaconda/pyprecice,3.0,precice/precice,https://hub.docker.com/r/precice/precice,2023-12-21 03:13:57.054026,13713.0,,,,,,
15,pandapipes,gasnet,['python'],,e2nIEE/pandapipes,https://www.pandapipes.org/,BSD-3,Pipeflow Calculation Tool.,https://github.com/e2nIEE/pandapipes,2020-02-03 15:04:57,2023-12-21 13:38:12.000000,2023-12-21 11:57:09,1729,46.0,10.0,423.0,76.0,106,20.0,23,True,84.0,45.0,pandapipes,,https://jkpandapipes.readthedocs.io/en/latest/,2023-07-31 12:00:03,0.8.5,,2007.0,15.0,14.0,14.0,https://pypi.org/project/pandapipes,2007.0,,1.0,,,,,,,,,,
16,Power Grid Model,steady-state,['python'],,alliander-opensource/power-grid-model,https://github.com/PowerGridModel/power-grid-model,MPL-2.0,Steady-state distribution power system analysis.,https://github.com/PowerGridModel/power-grid-model,2022-01-20 12:31:31,2023-12-21 15:36:03.000000,2023-12-19 05:48:16,3839,20.0,5.0,348.0,63.0,98,18.0,23,True,538.0,40.0,power-grid-model,,https://power-grid-model.readthedocs.io/en/stable/,2023-12-19 06:30:03,1.6.41,610.0,15623.0,100.0,4.0,4.0,https://pypi.org/project/power-grid-model,15501.0,,2.0,,,,,,,,,,PowerGridModel/power-grid-model
17,PowerSimulations.jl,steady-state,['julia'],,nrel-siip/powersimulations.jl,https://www.nrel.gov/analysis/siip.html,BSD-3,Optimization of Power Systems; Part of the SIIP at NREL.,https://github.com/NREL-Sienna/PowerSimulations.jl,2017-11-03 21:11:22,2023-12-19 22:39:53.000000,2023-12-18 16:18:12,8304,49.0,18.0,741.0,253.0,244,32.0,22,True,146.0,26.0,,,https://nrel-siip.github.io/PowerSimulations.jl/latest/,2023-12-14 23:36:38,0.25.1,,,100.0,,,,,,2.0,,,,,,,,,,NREL-Sienna/PowerSimulations.jl
18,AMPLPY,ops,['python'],,ampl/amplpy,https://ampl.com/,BSD-3,Python API for AMPL.,https://github.com/ampl/amplpy,2017-06-27 00:22:07,2023-12-11 12:53:30.000000,2023-12-11 12:53:16,622,16.0,13.0,6.0,43.0,60,8.0,22,True,14.0,2.0,amplpy,amplpy,https://amplpy.readthedocs.io/en/latest/,2023-09-04 11:30:29,0.12.0,,11830.0,12.0,55.0,55.0,https://pypi.org/project/amplpy,11830.0,https://anaconda.org/anaconda/amplpy,3.0,,,,,,True,,,,
19,matpower,steady-state,,,MATPOWER/matpower,https://matpower.org/,BSD-3,Steady state power flow simulation.,https://github.com/MATPOWER/matpower,2016-12-16 19:12:30,2023-12-20 22:05:28.000000,2023-12-19 22:25:02,2383,143.0,28.0,41.0,146.0,356,15.0,21,True,53.0,29.0,matpower,,https://matpower.org/doc/,2020-10-08 23:57:49,7.1,420395.0,7095.0,4.0,,,https://pypi.org/project/matpower,192.0,,3.0,matpower/matpower,https://hub.docker.com/r/matpower/matpower,2022-12-23 05:36:43.825145,1055.0,,,,,,
20,PyPSA-Eur,steady-state,['python'],,PyPSA/pypsa-eur,https://pypsa.org,MIT,Optimisation Model of the European Transmission System.,https://github.com/PyPSA/pypsa-eur,2017-10-11 23:54:41,2023-12-21 17:40:50.000000,2023-12-18 19:25:43,3380,169.0,15.0,462.0,222.0,246,57.0,21,True,178.0,127.0,,,https://pypsa-eur.readthedocs.io/en/latest/?badge=latest,2023-07-27 09:57:00,0.8.1,,0.0,12.0,,,,,,3.0,nimfetrisa/pypsa-eur,https://hub.docker.com/r/nimfetrisa/pypsa-eur,2022-04-11 21:54:31.539284,36.0,,,,,,
21,powerplantmatching,data,['python'],,PyPSA/powerplantmatching,https://pypsa.org,BSD-2,Tools to combine multiple power plant databases.,https://github.com/PyPSA/powerplantmatching,2016-08-15 16:36:25,2023-12-18 18:42:07.000000,2023-10-31 06:56:24,850,47.0,18.0,68.0,54.0,131,22.0,20,True,11.0,20.0,powerplantmatching,powerplantmatching,https://atlite.readthedocs.io/en/master/?badge=master,2023-05-30 09:24:13,0.5.7,52.0,467.0,14.0,37.0,37.0,https://pypi.org/project/powerplantmatching,467.0,https://anaconda.org/anaconda/powerplantmatching,3.0,,,,,,,,,,
22,HELICS,cosimf,"['python', 'julia']",,GMLC-TDC/HELICS,https://helics.org/tools/,BSD-3,Framework to Integrate Simulators.,https://github.com/GMLC-TDC/HELICS,2017-06-01 17:03:19,2023-12-18 18:22:49.000000,2023-07-11 15:59:48,3417,37.0,13.0,1912.0,552.0,105,38.0,20,True,,78.0,helics,helics,,2023-01-20 21:48:22,3.4.0,19898.0,1701.0,54.0,,,https://pypi.org/project/helics,1417.0,https://anaconda.org/anaconda/helics,1.0,,,,,-2.0,,,,,
