,name,category,labels,resource,github_id,homepage,license,description,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,contributor_count,projectrank,show,open_issue_count,pypi_id,conda_id,docs_url,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,conda_url,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,trending,new_addition,dockerhub_stars,conda_latest_release_published_at,conda_total_downloads,updated_github_id
0,Data on Energy,data,['python'],True,owid/energy-data,https://ourworldindata.org/energy,CC-BY,Data on energy by Our World in Data.,https://github.com/owid/energy-data,2020-09-08 15:21:25,2023-03-06 04:08:54,2023-03-06 04:08:49,224,3.0,72.0,9.0,22.0,7.0,170,7.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,
1,COVID-EMDA,data,['python'],True,tamu-engineering-research/COVID-EMDA,https://github.com/tamu-engineering-research/COVID-EMDA,MIT,Cross-Domain Data Hub with Data in USA.,https://github.com/tamu-engineering-research/COVID-EMDA,2020-05-05 18:59:53,2022-05-16 00:06:28,2022-05-16 00:06:28,979,,18.0,6.0,,,57,5.0,0,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2,Pyomo,opl,"['python', 'jupyter']",,Pyomo/pyomo,https://www.pyomo.org,BSD-3,Python-based Optimization Modeling Language.,https://github.com/Pyomo/pyomo,2016-05-27 19:33:45,2023-05-04 05:25:00,2023-05-01 19:45:50,20591,598.0,421.0,59.0,1654.0,879.0,1533,124.0,36,True,286.0,Pyomo,pyomo,https://pyomo.readthedocs.io/en/stable/,2023-02-16 17:19:00,6.5.0,909.0,126198.0,7.0,1311.0,1311.0,https://pypi.org/project/Pyomo,126138.0,https://anaconda.org/anaconda/pyomo,1.0,,,,,,,,,,
3,pandapower,steady-state,['python'],,e2nIEE/pandapower,https://www.pandapower.org/,BSD-3,Convenient Power System Modelling and Analysis.,https://github.com/e2nIEE/pandapower,2017-01-12 13:27:53,2023-05-04 18:03:01,2023-05-04 14:22:32,7642,230.0,407.0,46.0,1061.0,666.0,614,107.0,31,True,168.0,pandapower,pandapower,https://pandapower.readthedocs.io/en/latest/,2023-04-19 13:24:07,.2.12.1,,12971.0,33.0,220.0,220.0,https://pypi.org/project/pandapower,12970.0,https://anaconda.org/anaconda/pandapower,1.0,pauldepraz/pandapowerapi,https://hub.docker.com/r/pauldepraz/pandapowerapi,2021-02-09 18:05:17.389840,88.0,-1.0,,,,,
4,PySCIPOpt,ops,['python'],,scipopt/PySCIPOpt,https://www.scipopt.org/,MIT,Python interface for SCIP.,https://github.com/scipopt/PySCIPOpt,2016-05-19 14:29:21,2023-04-26 21:25:35,2023-04-25 13:48:21,1585,27.0,200.0,26.0,271.0,379.0,635,61.0,30,True,27.0,PySCIPOpt,pyscipopt,https://scipopt.github.io/PySCIPOpt/docs/html/,2023-03-17 19:43:22,4.3.0,,85748.0,17.0,109.0,109.0,https://pypi.org/project/PySCIPOpt,85748.0,https://anaconda.org/anaconda/pyscipopt,1.0,,,,,,True,,,,
5,PyPSA,steady-state,['python'],,PyPSA/PyPSA,https://pypsa.org,MIT,Simulating and optimising power and energy systems.,https://github.com/PyPSA/PyPSA,2016-01-11 09:04:18,2023-05-03 04:53:34,2023-05-02 06:40:02,1868,129.0,344.0,59.0,359.0,187.0,835,59.0,29,True,62.0,pypsa,pypsa,https://pypsa.readthedocs.io/en/latest/,2023-02-16 09:22:20,0.22.1,,2785.0,42.0,92.0,92.0,https://pypi.org/project/pypsa,2785.0,https://anaconda.org/anaconda/pypsa,1.0,,,,,,,,,,
6,OpenModelica,cosime,,,OpenModelica/OpenModelica,https://openmodelica.org,https://modelica.org/licenses/ModelicaLicense2/,Modelica-based environment for modeling and simulation.,https://github.com/OpenModelica/OpenModelica,2015-05-03 16:59:29,2023-05-04 15:01:11,2023-05-04 15:01:11,35952,265.0,249.0,53.0,3586.0,5339.0,601,180.0,28,True,1612.0,,,https://openmodelica.org/useresresources/userdocumentation,2023-04-18 09:52:03,1.21.0,346.0,219.0,16.0,,,,,,1.0,openmodelica/openmodelica,https://hub.docker.com/r/openmodelica/openmodelica,2023-03-31 09:37:19.309639,20738.0,,,5.0,,,
7,CVXOPT,opl,['python'],,cvxopt/cvxopt,https://cvxopt.org/,GPL-3,Python Software for Convex Optimization.,https://github.com/cvxopt/cvxopt,2013-02-22 22:14:31,2023-04-23 20:46:38,2022-03-07 21:58:44,53,,186.0,39.0,60.0,131.0,877,8.0,26,False,46.0,cvxopt,cvxopt,http://cvxopt.org/userguide/,2022-03-08 21:08:16,1.3.0,,187244.0,10.0,7051.0,7051.0,https://pypi.org/project/cvxopt,187147.0,https://anaconda.org/anaconda/cvxopt,3.0,,,,,,True,,2023-03-21 12:56:57.446,8803.0,
8,JuMP,opl,"['julia', 'jupyter']",,jump-dev/JuMP.jl,https://jump.dev,MPL-2.0,Julia-based Optimization Modeling Language.,https://github.com/jump-dev/JuMP.jl,2012-10-10 00:34:45,2023-05-04 12:58:14,2023-05-04 07:39:21,4618,92.0,364.0,83.0,1956.0,1337.0,1950,139.0,25,True,11.0,,,https://jump.dev/JuMP.jl/stable/,2023-05-03 03:22:15,1.11.0,,,55.0,,,,,,3.0,,,,,,,,,,
9,HiGHS,ops,['python'],,ERGO-Code/HiGHS,https://highs.dev/,MIT,Large-scale Sparse Linear Problem Optimizer.,https://github.com/ERGO-Code/HiGHS,2018-03-27 13:57:58,2023-05-04 17:22:01,2023-04-16 08:05:52,7687,5.0,107.0,22.0,794.0,376.0,528,46.0,25,True,59.0,highspy,,https://ergo-code.github.io/HiGHS/,2023-02-24 14:45:09,1.5.1,,6437.0,9.0,15.0,15.0,https://pypi.org/project/highspy,6437.0,,2.0,,,,,-1.0,,,,,
10,Ipopt,ops,['python'],,coin-or/Ipopt,https://github.com/coin-or/Ipopt,EPL-2.0,COIN-OR Interior Point Optimizer.,https://github.com/coin-or/Ipopt,2019-01-28 12:24:22,2023-04-28 15:19:26,2023-04-28 15:18:56,2322,24.0,226.0,40.0,18.0,528.0,1031,25.0,24,True,6.0,ipopt,ipopt,https://coin-or.github.io/Ipopt/,2023-04-05 09:21:32,releases/3.14.12,7419.0,2609.0,18.0,,,https://pypi.org/project/ipopt,2409.0,https://anaconda.org/anaconda/ipopt,3.0,,,,,,,,,,
11,GridCal,steady-state,['python'],,SanPen/GridCal,https://www.advancedgridinsights.com/gridcal,LGPL-3,Cross-platform power systems software.,https://github.com/SanPen/GridCal,2016-01-13 15:40:10,2023-04-26 16:53:19,2023-04-26 16:53:18,2764,67.0,77.0,27.0,97.0,75.0,322,29.0,23,True,,GridCal,,https://gridcal.readthedocs.io/en/latest/?badge=latest,2023-04-22 16:30:54,4.7.0,27.0,967.0,18.0,6.0,6.0,https://pypi.org/project/GridCal,967.0,,2.0,,,,,,,,,,
12,Atlite,data,['python'],,PyPSA/atlite,https://pypsa.org,BSD-2,Calculating Renewable Power Potentials.,https://github.com/PyPSA/atlite,2016-11-03 23:59:25,2023-05-04 10:12:05,2023-05-02 13:21:15,621,86.0,58.0,13.0,196.0,81.0,185,25.0,23,True,20.0,atlite,atlite,https://atlite.readthedocs.io/en/master/?badge=master,2023-01-11 12:55:29,0.2.10,,539.0,9.0,17.0,17.0,https://pypi.org/project/atlite,539.0,https://anaconda.org/anaconda/atlite,1.0,,,,,,,,,,
13,precice,cosime,,,precice/precice,https://precice.org/,LGPL-3.0,Precise Code Interaction Coupling Environment.,https://github.com/precice/precice,2015-05-22 14:05:22,2023-05-04 18:11:22,2023-05-04 14:01:31,4641,120.0,144.0,35.0,951.0,522.0,537,51.0,22,True,155.0,pyprecice,pyprecice,https://precice.org/docs.html,2022-08-10 12:48:38,2.5.0,16059.0,715.0,25.0,,,https://pypi.org/project/pyprecice,365.0,https://anaconda.org/anaconda/pyprecice,3.0,precice/precice,https://hub.docker.com/r/precice/precice,2023-05-04 03:16:17.463917,10286.0,,,,,,
14,Grid2Op,mrl,"['python', 'jupyter']",,rte-france/Grid2Op,https://l2rpn.chalearn.org/,MPL-2.0,Modeling sequential decision making in power systems.,https://github.com/rte-france/Grid2Op,2019-10-10 17:04:46,2023-04-28 14:42:58,2023-01-11 11:47:49,2188,,88.0,18.0,168.0,208.0,216,22.0,22,True,61.0,Grid2Op,,https://grid2op.readthedocs.io/en/latest/,2023-01-11 13:01:28,1.8.1,,1878.0,18.0,,,https://pypi.org/project/Grid2Op,1677.0,,1.0,bdonnot/grid2op,https://hub.docker.com/r/bdonnot/grid2op,2022-07-05 14:02:10.644952,8678.0,-1.0,,1.0,,,
15,PowerSimulations.jl,steady-state,['julia'],,nrel-siip/powersimulations.jl,https://www.nrel.gov/analysis/siip.html,BSD-3,Optimization of Power Systems; Part of the SIIP at NREL.,https://github.com/NREL-Sienna/PowerSimulations.jl,2017-11-03 21:11:22,2023-05-04 18:20:49,2023-05-04 18:20:44,7607,222.0,43.0,16.0,698.0,239.0,213,30.0,22,True,22.0,,,https://nrel-siip.github.io/PowerSimulations.jl/latest/,2023-05-03 17:49:16,0.20.0,,,83.0,,,,,,2.0,,,,,,,,,,NREL-Sienna/PowerSimulations.jl
