,name,category,labels,resource,github_id,homepage,license,description,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,contributor_count,projectrank,show,open_issue_count,pypi_id,conda_id,docs_url,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,conda_url,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,new_addition,trending,dockerhub_stars,conda_latest_release_published_at,conda_total_downloads,updated_github_id
0,Data on Energy,data,['python'],True,owid/energy-data,https://ourworldindata.org/energy,CC-BY,Data on energy by Our World in Data.,https://github.com/owid/energy-data,2020-09-08 15:21:25,2023-07-18 13:22:02,2023-07-18 13:21:58,234,10.0,78.0,11.0,25.0,9.0,195,7.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,
1,COVID-EMDA,data,['python'],True,tamu-engineering-research/COVID-EMDA,https://github.com/tamu-engineering-research/COVID-EMDA,MIT,Cross-Domain Data Hub with Data in USA.,https://github.com/tamu-engineering-research/COVID-EMDA,2020-05-05 18:59:53,2022-05-16 00:06:28,2022-05-16 00:06:28,979,,18.0,6.0,,,57,5.0,0,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2,Pyomo,opl,"['python', 'jupyter']",,Pyomo/pyomo,https://www.pyomo.org,BSD-3,Python-based Optimization Modeling Language.,https://github.com/Pyomo/pyomo,2016-05-27 19:33:45,2023-08-17 17:17:16,2023-08-17 13:38:14,21341,419.0,434.0,61.0,1733.0,913.0,1607,128.0,36,True,307.0,Pyomo,pyomo,https://pyomo.readthedocs.io/en/stable/,2023-05-30 20:38:18,6.6.1,1605.0,292789.0,9.0,1454.0,1454.0,https://pypi.org/project/Pyomo,292700.0,https://anaconda.org/anaconda/pyomo,1.0,,,,,,,,,,
3,pandapower,steady-state,['python'],,e2nIEE/pandapower,https://www.pandapower.org/,BSD-3,Convenient Power System Modelling and Analysis.,https://github.com/e2nIEE/pandapower,2017-01-12 13:27:53,2023-08-16 18:11:36,2023-08-10 16:34:48,7953,149.0,416.0,46.0,1137.0,713.0,653,115.0,31,True,149.0,pandapower,pandapower,https://pandapower.readthedocs.io/en/latest/,2023-05-12 15:47:47,2.13.1,,14973.0,35.0,261.0,261.0,https://pypi.org/project/pandapower,14972.0,https://anaconda.org/anaconda/pandapower,1.0,pauldepraz/pandapowerapi,https://hub.docker.com/r/pauldepraz/pandapowerapi,2021-02-09 18:05:17.389840,88.0,,,,,,
4,PyPSA,steady-state,['python'],,PyPSA/PyPSA,https://pypsa.org,MIT,Simulating and optimising power and energy systems.,https://github.com/PyPSA/PyPSA,2016-01-11 09:04:18,2023-08-17 13:26:25,2023-08-17 10:40:50,2157,197.0,362.0,61.0,428.0,208.0,902,63.0,30,True,60.0,pypsa,pypsa,https://pypsa.readthedocs.io/en/latest/,2023-07-27 07:51:53,0.25.1,,2985.0,46.0,115.0,115.0,https://pypi.org/project/pypsa,2985.0,https://anaconda.org/anaconda/pypsa,1.0,,,,,,,,,,
5,PySCIPOpt,ops,['python'],,scipopt/PySCIPOpt,https://www.scipopt.org/,MIT,Python interface for SCIP.,https://github.com/scipopt/PySCIPOpt,2016-05-19 14:29:21,2023-08-07 10:44:19,2023-07-03 08:33:49,1601,14.0,204.0,25.0,280.0,411.0,665,64.0,30,True,28.0,PySCIPOpt,pyscipopt,https://scipopt.github.io/PySCIPOpt/docs/html/,2023-03-17 19:43:22,4.3.0,,81133.0,17.0,123.0,123.0,https://pypi.org/project/PySCIPOpt,81133.0,https://anaconda.org/anaconda/pyscipopt,1.0,,,,,True,,,,,
6,HiGHS,ops,['python'],,ERGO-Code/HiGHS,https://highs.dev/,MIT,Large-scale Sparse Linear Problem Optimizer.,https://github.com/ERGO-Code/HiGHS,2018-03-27 13:57:58,2023-08-10 10:31:40,2023-07-05 21:29:49,8330,40.0,121.0,26.0,841.0,420.0,579,53.0,28,True,60.0,highspy,,https://ergo-code.github.io/HiGHS/,2023-05-27 13:20:08,1.5.3,,14487.0,10.0,26.0,26.0,https://pypi.org/project/highspy,14487.0,,2.0,,,,,,2.0,,,,
7,OpenModelica,cosime,,,OpenModelica/OpenModelica,https://openmodelica.org,https://modelica.org/licenses/ModelicaLicense2/,Modelica-based environment for modeling and simulation.,https://github.com/OpenModelica/OpenModelica,2015-05-03 16:59:29,2023-08-17 13:47:11,2023-08-17 13:47:11,36128,156.0,260.0,53.0,3783.0,5441.0,630,182.0,27,True,1675.0,,,https://openmodelica.org/useresresources/userdocumentation,2023-04-18 09:52:03,1.21.0,355.0,236.0,16.0,,,,,,1.0,openmodelica/openmodelica,https://hub.docker.com/r/openmodelica/openmodelica,2023-05-05 12:42:00.027415,23122.0,,,5.0,,,
8,CVXOPT,opl,['python'],,cvxopt/cvxopt,https://cvxopt.org/,GPL-3,Python Software for Convex Optimization.,https://github.com/cvxopt/cvxopt,2013-02-22 22:14:31,2023-08-09 15:11:09,2023-08-09 09:16:40,55,1.0,191.0,39.0,63.0,145.0,912,8.0,26,True,34.0,cvxopt,cvxopt,http://cvxopt.org/userguide/,2023-08-09 14:30:02,1.3.2,,246869.0,12.0,7803.0,7803.0,https://pypi.org/project/cvxopt,246766.0,https://anaconda.org/anaconda/cvxopt,3.0,,,,,True,,,2023-06-16 13:05:55.431,9618.0,
9,JuMP,opl,"['julia', 'jupyter']",,jump-dev/JuMP.jl,https://jump.dev,MPL-2.0,Julia-based Optimization Modeling Language.,https://github.com/jump-dev/JuMP.jl,2012-10-10 00:34:45,2023-08-17 02:50:39,2023-08-16 00:17:06,4694,64.0,376.0,84.0,2045.0,1355.0,1999,145.0,25,True,7.0,,,https://jump.dev/JuMP.jl/stable/,2023-07-27 19:23:35,1.13.0,,,58.0,,,,,,3.0,,,,,,,,,,
