,name,category,labels,resource,github_id,homepage,license,description,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,contributor_count,projectrank,show,open_issue_count,pypi_id,conda_id,docs_url,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,conda_url,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,trending,new_addition,conda_latest_release_published_at,conda_total_downloads,dockerhub_stars,updated_github_id
0,Data on Energy,data,['python'],True,owid/energy-data,https://ourworldindata.org/energy,CC-BY,Data on energy by Our World in Data.,https://github.com/owid/energy-data,2020-09-08 15:21:25,2023-12-27 14:14:33.000,2023-12-27 14:14:29,240,6.0,86.0,14.0,26.0,10.0,230,7.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,
1,COVID-EMDA,data,['python'],True,tamu-engineering-research/COVID-EMDA,https://github.com/tamu-engineering-research/COVID-EMDA,MIT,Cross-Domain Data Hub with Data in USA.,https://github.com/tamu-engineering-research/COVID-EMDA,2020-05-05 18:59:53,2023-11-11 19:19:54.000,2023-11-11 19:19:54,981,2.0,18.0,6.0,,,57,5.0,0,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2,Pyomo,opl,"['python', 'jupyter']",,Pyomo/pyomo,https://www.pyomo.org,BSD-3,Python-based Optimization Modeling Language.,https://github.com/Pyomo/pyomo,2016-05-27 19:33:45,2023-12-22 21:35:04.000,2023-12-19 16:34:51,22239,317.0,452.0,60.0,1808.0,996.0,1739,136.0,36,True,266.0,Pyomo,pyomo,https://pyomo.readthedocs.io/en/stable/,2023-11-30 03:01:19,6.7.0,1983.0,298615.0,11.0,1654.0,1654.0,https://pypi.org/project/Pyomo,298529.0,https://anaconda.org/anaconda/pyomo,1.0,,,,,,,,,,
3,pandapower,steady-state,['python'],,e2nIEE/pandapower,https://www.pandapower.org/,BSD-3,Convenient Power System Modelling and Analysis.,https://github.com/e2nIEE/pandapower,2017-01-12 13:27:53,2024-01-03 07:57:15.000,2024-01-03 07:57:15,8174,89.0,429.0,47.0,1183.0,725.0,709,124.0,31,True,167.0,pandapower,pandapower,https://pandapower.readthedocs.io/en/latest/,2023-05-12 15:47:47,2.13.1,,9940.0,35.0,303.0,303.0,https://pypi.org/project/pandapower,9939.0,https://anaconda.org/anaconda/pandapower,1.0,pauldepraz/pandapowerapi,https://hub.docker.com/r/pauldepraz/pandapowerapi,2021-02-09 18:05:17.389840,88.0,,,,,,
4,HiGHS,ops,['python'],,ERGO-Code/HiGHS,https://highs.dev/,MIT,Large-scale Sparse Linear Problem Optimizer.,https://github.com/ERGO-Code/HiGHS,2018-03-27 13:57:58,2024-01-04 16:49:13.000,2023-11-28 00:06:22,8798,163.0,140.0,34.0,933.0,480.0,709,60.0,30,True,64.0,highspy,,https://ergo-code.github.io/HiGHS/,2023-09-29 05:31:06,1.6.0,,22924.0,11.0,54.0,54.0,https://pypi.org/project/highspy,22924.0,,1.0,,,,,4.0,,,,,
5,PySCIPOpt,ops,['python'],,scipopt/PySCIPOpt,https://www.scipopt.org/,MIT,Python interface for SCIP.,https://github.com/scipopt/PySCIPOpt,2016-05-19 14:29:21,2023-12-30 07:55:26.000,2023-12-30 07:55:26,1732,115.0,213.0,25.0,305.0,448.0,705,67.0,30,True,17.0,PySCIPOpt,pyscipopt,https://scipopt.github.io/PySCIPOpt/docs/html/,2023-12-06 08:07:15,4.4.0,,17065.0,18.0,137.0,137.0,https://pypi.org/project/PySCIPOpt,17065.0,https://anaconda.org/anaconda/pyscipopt,1.0,,,,,,True,,,,
6,PyPSA,steady-state,['python'],,PyPSA/PyPSA,https://pypsa.org,MIT,Simulating and optimising power and energy systems.,https://github.com/PyPSA/PyPSA,2016-01-11 09:04:18,2024-01-04 17:26:29.000,2023-12-31 15:28:57,2437,161.0,387.0,66.0,497.0,226.0,988,68.0,29,True,71.0,pypsa,pypsa,https://pypsa.readthedocs.io/en/latest/,2023-12-31 15:30:27,0.26.2,,3264.0,50.0,151.0,151.0,https://pypi.org/project/pypsa,3264.0,https://anaconda.org/anaconda/pypsa,1.0,,,,,,,,,,
7,CVXOPT,opl,['python'],,cvxopt/cvxopt,https://cvxopt.org/,GPL-3,Python Software for Convex Optimization.,https://github.com/cvxopt/cvxopt,2013-02-22 22:14:31,2023-11-07 22:51:27.608,2023-08-09 09:16:40,55,,197.0,38.0,65.0,145.0,932,8.0,27,True,38.0,cvxopt,cvxopt,http://cvxopt.org/userguide/,2023-08-09 14:30:02,1.3.2,,270979.0,12.0,8808.0,8808.0,https://pypi.org/project/cvxopt,270873.0,https://anaconda.org/anaconda/cvxopt,3.0,,,,,,True,2023-11-07 22:51:27.608,10485.0,,
8,OpenModelica,cosime,,,OpenModelica/OpenModelica,https://openmodelica.org,https://modelica.org/licenses/ModelicaLicense2/,Modelica-based environment for modeling and simulation.,https://github.com/OpenModelica/OpenModelica,2015-05-03 16:59:29,2024-01-04 17:28:46.000,2024-01-04 17:28:46,36430,162.0,274.0,53.0,4144.0,5625.0,689,187.0,27,True,1784.0,,,https://openmodelica.org/useresresources/userdocumentation,2023-12-13 10:48:55,1.22.1,358.0,320.0,18.0,,,,,,1.0,openmodelica/openmodelica,https://hub.docker.com/r/openmodelica/openmodelica,2023-12-15 14:05:19.336681,32986.0,,,,,5.0,
9,JuMP,opl,"['julia', 'jupyter']",,jump-dev/JuMP.jl,https://jump.dev,MPL-2.0,Julia-based Optimization Modeling Language.,https://github.com/jump-dev/JuMP.jl,2012-10-10 00:34:45,2024-01-04 02:35:39.000,2024-01-02 04:47:10,4828,79.0,381.0,84.0,2187.0,1403.0,2080,149.0,26,True,6.0,,,https://jump.dev/JuMP.jl/stable/,2024-01-02 05:03:45,1.18.0,,,65.0,,,,,,3.0,,,,,,,,,,
10,Ipopt,ops,['python'],,coin-or/Ipopt,https://github.com/coin-or/Ipopt,EPL-2.0,COIN-OR Interior Point Optimizer.,https://github.com/coin-or/Ipopt,2019-01-28 12:24:22,2023-12-12 06:57:41.000,2023-12-12 06:57:09,2349,17.0,248.0,41.0,24.0,555.0,1198,29.0,25,True,6.0,ipopt,ipopt,https://coin-or.github.io/Ipopt/,2023-11-08 10:43:55,releases/3.14.13,10247.0,1893.0,19.0,,,https://pypi.org/project/ipopt,1666.0,https://anaconda.org/anaconda/ipopt,3.0,,,,,,,,,,
11,Grid2Op,mrl,"['python', 'jupyter']",,rte-france/Grid2Op,https://l2rpn.chalearn.org/,MPL-2.0,Modeling sequential decision making in power systems.,https://github.com/rte-france/Grid2Op,2019-10-10 17:04:46,2023-12-18 08:14:38.000,2023-12-01 09:41:19,2834,57.0,102.0,18.0,235.0,280.0,245,31.0,24,True,43.0,Grid2Op,,https://grid2op.readthedocs.io/en/latest/,2023-12-01 09:42:22,1.9.7,,1899.0,26.0,,,https://pypi.org/project/Grid2Op,1710.0,,1.0,bdonnot/grid2op,https://hub.docker.com/r/bdonnot/grid2op,2022-07-05 14:02:10.644952,9641.0,,,,,1.0,
12,Atlite,data,['python'],,PyPSA/atlite,https://pypsa.org,BSD-2,Calculating Renewable Power Potentials.,https://github.com/PyPSA/atlite,2016-11-03 23:59:25,2023-12-29 11:42:05.000,2023-12-29 11:42:05,705,39.0,67.0,13.0,227.0,84.0,225,28.0,24,True,23.0,atlite,atlite,https://atlite.readthedocs.io/en/master/?badge=master,2023-10-25 10:29:04,0.2.12,,1529.0,11.0,47.0,47.0,https://pypi.org/project/atlite,1529.0,https://anaconda.org/anaconda/atlite,1.0,,,,,2.0,,,,,
13,precice,cosime,,,precice/precice,https://precice.org/,LGPL-3.0,Precise Code Interaction Coupling Environment.,https://github.com/precice/precice,2015-05-22 14:05:22,2024-01-04 18:06:27.000,2024-01-02 16:01:29,4959,115.0,161.0,37.0,1123.0,610.0,628,54.0,23,True,177.0,pyprecice,pyprecice,https://precice.org/docs.html,2022-08-10 12:48:38,2.5.0,22067.0,507.0,25.0,,,https://pypi.org/project/pyprecice,77.0,https://anaconda.org/anaconda/pyprecice,3.0,precice/precice,https://hub.docker.com/r/precice/precice,2024-01-04 03:14:15.842157,13733.0,,,,,,
14,GridCal,steady-state,['python'],,SanPen/GridCal,https://www.advancedgridinsights.com/gridcal,LGPL-3,Cross-platform power systems software.,https://github.com/SanPen/GridCal,2016-01-13 15:40:10,2024-01-04 16:01:23.000,2023-11-28 12:18:01,3208,155.0,75.0,33.0,106.0,80.0,364,32.0,23,True,52.0,GridCal,,https://gridcal.readthedocs.io/en/latest/?badge=latest,2023-11-18 17:02:20,5.0.2,33.0,616.0,19.0,7.0,7.0,https://pypi.org/project/GridCal,616.0,,2.0,,,,,,,,,,
15,pandapipes,gasnet,['python'],,e2nIEE/pandapipes,https://www.pandapipes.org/,BSD-3,Pipeflow Calculation Tool.,https://github.com/e2nIEE/pandapipes,2020-02-03 15:04:57,2023-12-22 10:36:39.000,2023-12-22 08:55:40,1754,103.0,46.0,10.0,426.0,76.0,107,20.0,23,True,45.0,pandapipes,,https://jkpandapipes.readthedocs.io/en/latest/,2023-12-22 10:36:39,0.9.0,,1591.0,16.0,14.0,14.0,https://pypi.org/project/pandapipes,1591.0,,1.0,,,,,,,,,,
16,Power Grid Model,steady-state,['python'],,alliander-opensource/power-grid-model,https://github.com/PowerGridModel/power-grid-model,MPL-2.0,Steady-state distribution power system analysis.,https://github.com/PowerGridModel/power-grid-model,2022-01-20 12:31:31,2024-01-04 15:45:02.000,2024-01-04 14:53:25,3930,517.0,20.0,5.0,351.0,63.0,98,18.0,23,True,41.0,power-grid-model,,https://power-grid-model.readthedocs.io/en/stable/,2024-01-04 15:37:28,1.6.45,590.0,12019.0,100.0,4.0,4.0,https://pypi.org/project/power-grid-model,11921.0,,2.0,,,,,,,,,,PowerGridModel/power-grid-model
17,PowerSimulations.jl,steady-state,['julia'],,nrel-siip/powersimulations.jl,https://www.nrel.gov/analysis/siip.html,BSD-3,Optimization of Power Systems; Part of the SIIP at NREL.,https://github.com/NREL-Sienna/PowerSimulations.jl,2017-11-03 21:11:22,2024-01-03 23:28:14.000,2023-12-27 16:56:13,8312,123.0,49.0,18.0,744.0,255.0,247,32.0,22,True,24.0,,,https://nrel-siip.github.io/PowerSimulations.jl/latest/,2023-12-27 17:17:06,0.25.2,,,100.0,,,,,,2.0,,,,,,,,,,NREL-Sienna/PowerSimulations.jl
18,AMPLPY,ops,['python'],,ampl/amplpy,https://ampl.com/,BSD-3,Python API for AMPL.,https://github.com/ampl/amplpy,2017-06-27 00:22:07,2023-12-29 18:15:27.000,2023-12-29 18:02:36,653,42.0,17.0,14.0,6.0,45.0,60,8.0,22,True,,amplpy,amplpy,https://amplpy.readthedocs.io/en/latest/,2023-12-29 18:19:14,0.13.1,,10853.0,13.0,56.0,56.0,https://pypi.org/project/amplpy,10853.0,https://anaconda.org/anaconda/amplpy,3.0,,,,,,True,,,,
19,matpower,steady-state,,,MATPOWER/matpower,https://matpower.org/,BSD-3,Steady state power flow simulation.,https://github.com/MATPOWER/matpower,2016-12-16 19:12:30,2023-12-23 00:43:36.000,2023-12-19 22:25:02,2383,48.0,144.0,29.0,41.0,147.0,361,15.0,21,True,31.0,matpower,,https://matpower.org/doc/,2020-10-08 23:57:49,7.1,427205.0,7028.0,4.0,,,https://pypi.org/project/matpower,126.0,,3.0,matpower/matpower,https://hub.docker.com/r/matpower/matpower,2022-12-23 05:36:43.825145,1055.0,,,,,,
20,PyPSA-Eur,steady-state,['python'],,PyPSA/pypsa-eur,https://pypsa.org,MIT,Optimisation Model of the European Transmission System.,https://github.com/PyPSA/pypsa-eur,2017-10-11 23:54:41,2024-01-04 18:14:24.000,2024-01-04 17:58:04,3564,321.0,170.0,15.0,491.0,229.0,252,58.0,21,True,123.0,,,https://pypsa-eur.readthedocs.io/en/latest/?badge=latest,2023-07-27 09:57:00,0.8.1,,0.0,12.0,,,,,,3.0,nimfetrisa/pypsa-eur,https://hub.docker.com/r/nimfetrisa/pypsa-eur,2022-04-11 21:54:31.539284,36.0,,,,,,
21,powerplantmatching,data,['python'],,PyPSA/powerplantmatching,https://pypsa.org,BSD-2,Tools to combine multiple power plant databases.,https://github.com/PyPSA/powerplantmatching,2016-08-15 16:36:25,2024-01-02 15:58:09.000,2024-01-02 15:58:09,854,15.0,47.0,18.0,69.0,54.0,131,22.0,20,True,20.0,powerplantmatching,powerplantmatching,https://atlite.readthedocs.io/en/master/?badge=master,2023-05-30 09:24:13,0.5.7,52.0,555.0,14.0,38.0,38.0,https://pypi.org/project/powerplantmatching,555.0,https://anaconda.org/anaconda/powerplantmatching,3.0,,,,,,,,,,
