,name,category,labels,resource,github_id,homepage,license,description,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,contributor_count,projectrank,show,open_issue_count,pypi_id,conda_id,docs_url,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,conda_url,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,new_addition,trending,dockerhub_stars,conda_latest_release_published_at,conda_total_downloads,updated_github_id
0,Data on Energy,data,['python'],True,owid/energy-data,https://ourworldindata.org/energy,CC-BY,Data on energy by Our World in Data.,https://github.com/owid/energy-data,2020-09-08 15:21:25,2023-05-22 11:13:36.000000,2023-05-22 11:13:33,227,4.0,72.0,11.0,23.0,9.0,173,7.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,
1,COVID-EMDA,data,['python'],True,tamu-engineering-research/COVID-EMDA,https://github.com/tamu-engineering-research/COVID-EMDA,MIT,Cross-Domain Data Hub with Data in USA.,https://github.com/tamu-engineering-research/COVID-EMDA,2020-05-05 18:59:53,2022-05-16 00:06:28.000000,2022-05-16 00:06:28,979,,19.0,6.0,,,57,5.0,0,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2,Pyomo,opl,"['python', 'jupyter']",,Pyomo/pyomo,https://www.pyomo.org,BSD-3,Python-based Optimization Modeling Language.,https://github.com/Pyomo/pyomo,2016-05-27 19:33:45,2023-05-31 21:39:33.000000,2023-05-31 21:39:33,21073,703.0,427.0,60.0,1683.0,891.0,1554,126.0,36,True,287.0,Pyomo,pyomo,https://pyomo.readthedocs.io/en/stable/,2023-05-30 20:38:18,6.6.1,1079.0,119544.0,9.0,1356.0,1356.0,https://pypi.org/project/Pyomo,119477.0,https://anaconda.org/anaconda/pyomo,1.0,,,,,,,,,,
3,pandapower,steady-state,['python'],,e2nIEE/pandapower,https://www.pandapower.org/,BSD-3,Convenient Power System Modelling and Analysis.,https://github.com/e2nIEE/pandapower,2017-01-12 13:27:53,2023-06-01 13:57:52.000000,2023-06-01 13:57:52,7751,246.0,409.0,46.0,1107.0,671.0,628,108.0,32,True,170.0,pandapower,pandapower,https://pandapower.readthedocs.io/en/latest/,2023-05-12 15:47:47,2.13.1,,16778.0,35.0,233.0,233.0,https://pypi.org/project/pandapower,16777.0,https://anaconda.org/anaconda/pandapower,1.0,pauldepraz/pandapowerapi,https://hub.docker.com/r/pauldepraz/pandapowerapi,2021-02-09 18:05:17.389840,88.0,,,,,,
4,PySCIPOpt,ops,['python'],,scipopt/PySCIPOpt,https://www.scipopt.org/,MIT,Python interface for SCIP.,https://github.com/scipopt/PySCIPOpt,2016-05-19 14:29:21,2023-05-26 20:53:58.000000,2023-05-26 20:53:58,1592,19.0,203.0,25.0,272.0,387.0,647,64.0,30,True,28.0,PySCIPOpt,pyscipopt,https://scipopt.github.io/PySCIPOpt/docs/html/,2023-03-17 19:43:22,4.3.0,,81121.0,17.0,115.0,115.0,https://pypi.org/project/PySCIPOpt,81121.0,https://anaconda.org/anaconda/pyscipopt,1.0,,,,,True,,,,,
5,HiGHS,ops,['python'],,ERGO-Code/HiGHS,https://highs.dev/,MIT,Large-scale Sparse Linear Problem Optimizer.,https://github.com/ERGO-Code/HiGHS,2018-03-27 13:57:58,2023-06-01 13:57:44.000000,2023-05-27 12:38:28,8314,293.0,113.0,22.0,812.0,389.0,544,52.0,30,True,57.0,highspy,,https://ergo-code.github.io/HiGHS/,2023-05-27 13:20:08,1.5.3,,10365.0,10.0,17.0,17.0,https://pypi.org/project/highspy,10365.0,,1.0,,,,,,4.0,,,,
6,PyPSA,steady-state,['python'],,PyPSA/PyPSA,https://pypsa.org,MIT,Simulating and optimising power and energy systems.,https://github.com/PyPSA/PyPSA,2016-01-11 09:04:18,2023-06-01 09:54:35.000000,2023-06-01 09:54:35,1961,152.0,348.0,60.0,374.0,192.0,856,60.0,29,True,62.0,pypsa,pypsa,https://pypsa.readthedocs.io/en/latest/,2023-05-10 15:27:32,0.23.0,,3087.0,43.0,98.0,98.0,https://pypi.org/project/pypsa,3087.0,https://anaconda.org/anaconda/pypsa,1.0,,,,,,,,,,
7,OpenModelica,cosime,,,OpenModelica/OpenModelica,https://openmodelica.org,https://modelica.org/licenses/ModelicaLicense2/,Modelica-based environment for modeling and simulation.,https://github.com/OpenModelica/OpenModelica,2015-05-03 16:59:29,2023-06-01 15:20:49.000000,2023-06-01 13:45:01,36012,241.0,254.0,53.0,3651.0,5375.0,610,181.0,28,True,1625.0,,,https://openmodelica.org/useresresources/userdocumentation,2023-04-18 09:52:03,1.21.0,348.0,224.0,16.0,,,,,,1.0,openmodelica/openmodelica,https://hub.docker.com/r/openmodelica/openmodelica,2023-05-05 12:42:00.027415,21481.0,,,5.0,,,
8,CVXOPT,opl,['python'],,cvxopt/cvxopt,https://cvxopt.org/,GPL-3,Python Software for Convex Optimization.,https://github.com/cvxopt/cvxopt,2013-02-22 22:14:31,2023-05-11 05:49:29.000000,2023-05-10 11:52:37,54,1.0,188.0,39.0,62.0,138.0,890,8.0,26,True,40.0,cvxopt,cvxopt,http://cvxopt.org/userguide/,2023-05-10 12:43:01,1.3.1,,219175.0,11.0,7331.0,7331.0,https://pypi.org/project/cvxopt,219077.0,https://anaconda.org/anaconda/cvxopt,3.0,,,,,True,,,2023-03-21 12:56:57.446,8947.0,
9,JuMP,opl,"['julia', 'jupyter']",,jump-dev/JuMP.jl,https://jump.dev,MPL-2.0,Julia-based Optimization Modeling Language.,https://github.com/jump-dev/JuMP.jl,2012-10-10 00:34:45,2023-06-01 07:50:32.000000,2023-05-31 23:35:37,4653,88.0,368.0,84.0,1999.0,1345.0,1965,142.0,25,True,12.0,,,https://jump.dev/JuMP.jl/stable/,2023-05-19 23:55:12,1.11.1,,,56.0,,,,,,3.0,,,,,,,,,,
